START_ID,END_ID
1,14316246
4,14316247
5,14316247
6,14316247
7,14316247
8,14316247
9,14316247
10,14316247
11,14316247
12,14316247
13,14316247
14,14316247
15,14316247
16,14316248
17,14316249
19,14316249
20,14316249
21,14316249
18,1431625
22,14316251
26,14316251
33,14316251
35,14316251
37,14316251
38,14316251
39,14316251
40,14316251
42,14316251
43,14316251
44,14316251
45,14316251
47,14316251
48,14316251
50,14316251
51,14316251
52,14316251
53,14316251
55,14316251
56,14316251
58,14316251
62,14316251
63,14316251
64,14316251
65,14316251
66,14316251
68,14316251
70,14316251
71,14316251
72,14316251
73,14316251
74,14316251
75,14316251
77,14316251
78,14316251
80,14316251
85,14316251
86,14316251
87,14316251
89,14316251
91,14316251
92,14316251
93,14316251
94,14316251
95,14316251
96,14316251
97,14316251
99,14316251
100,1431625
101,1431625
102,1431625
103,1431625
104,1431625
106,1431625
107,1431625
108,1431625
109,1431625
110,1431625
111,1431625
112,1431625
113,1431625
116,1431625
117,1431625
118,1431625
120,1431625
122,1431625
123,1431625
124,1431625
125,1431625
127,1431625
128,1431625
130,1431625
131,1431625
132,1431625
133,1431625
135,1431625
136,1431625
137,1431625
139,1431625
142,1431625
143,1431625
146,1431625
147,1431625
148,1431625
149,1431625
150,1431625
153,1431625
154,1431625
155,1431625
157,1431625
158,1431625
159,1431625
160,1431625
161,1431625
163,1431625
164,1431625
165,1431625
166,1431625
167,1431625
168,1431625
169,1431625
170,1431625
175,1431625
176,1431625
178,1431625
180,1431625
181,1431625
182,1431625
183,1431625
184,1431625
186,1431625
187,1431625
188,1431625
189,1431625
190,1431625
191,1431625
194,1431625
196,1431625
199,1431625
200,1431625
201,1431625
202,1431625
203,1431625
204,1431625
205,1431625
206,1431625
208,1431625
209,1431625
210,1431625
212,1431625
213,1431625
214,1431625
215,1431625
217,1431625
218,1431625
220,1431625
221,1431625
223,1431625
224,1431625
225,1431625
226,1431625
227,1431625
228,1431625
229,1431625
230,1431625
231,1431625
232,1431625
233,1431625
235,1431625
236,1431625
238,1431625
242,1431625
244,1431625
245,1431625
246,1431625
249,1431625
254,1431625
257,1431625
134,1431625
140,1431625
144,1431625
145,1431625
23,14316252
24,14316252
25,14316252
151,1431625
152,1431625
28,14316252
29,14316252
31,14316252
32,14316252
162,1431625
36,14316252
41,14316252
171,1431625
173,1431625
46,14316252
174,1431625
49,14316252
177,1431625
179,1431625
54,14316252
60,14316252
61,14316252
192,1431625
67,14316252
195,1431625
69,14316252
197,1431625
198,1431625
76,14316252
79,14316252
207,1431625
