ID,author
10720372,Miroslaw Kutylowski
10720373,Krzysztof Lorys
10720374,Klaus Jansen
10720375,Klaus Lux
10720376,Markus Wiegelmann
10720377,Helmut Seidl
10720378,Christian Fecht
10720379,Jordan Gergov
10720380,Harald Luschgy
10720381,Matthias Heinkenschloss
10720382,Bernd Sturmfels
10720383,Christian Stangier
10720384,Arno Wagner
10720385,Mirjam Dür
10720386,Reiner Horst
10720387,Beniamino Di Martino
10720388,Christoph W. Keßler
10720389,Wei Zhou 0006
10720390,Anna Bernasconi 0001
10720391,Igor E. Shparlinski
10720392,Le Dung Muu
10720393,Kasyap Natarajan
10720394,Hubertus Th. Jongen
10720395,Oliver Stein
10720396,M. Nast
10720397,Lothar Breuer
10720398,Hannes Frey
10720399,Johannes K. Lehnert
10720400,Daniel Görgen
10720401,Peter Sturm 0001
10720402,Patrick Reuther
10720403,E. Levitin
10720404,Jürgen Huschens
10720405,Marco Fahl
10720406,Andreas Neumann 0001
10720407,Randal E. Bryant
10720408,Subhendu Bikash Hazra
10720409,Volker Schulz 0001
10720410,Elena Dubrova
10720411,Horst Schmitt
10720412,Peter Willems
10720413,Igor N. Kovalenko
10720414,R. J. Gardner
10720415,Dieter Prangenberg
10720416,János Sztrik
10720417,Oliver Möller
10720418,Ulrich Hertrampf
10720419,Thomas Burger
10720420,Jochen Bern
10720421,Heidi Jäger
10720422,Thomas Erlebach
10720423,Flemming Nielson
10720424,Gurami Tsitsiashvili
10720425,Patrick Justen
10720426,Klaus Schwettmann
10720427,Ulrich Raber
10720428,Fabio Somenzi
10720429,Thorsten Theobald
10720430,Abdelouahed Hamdi
10720431,Attahiru Sule Alfa
10720432,Siegfried Graf 0001
10720433,Jens Hofmann 0001
10720434,Norbert Th. Müller
10720435,Jan-J. Rückmann
10720436,Volker Klotz
10720437,Dimitri Efrosinin
10720438,Vladimir Rykov
10720439,Hans L. Bodlaender
10720440,Gerhard J. Woeginger
10720441,Michael Ruvimovich Davidson
10720442,Stephan Waack
10720443,Holger Class
10720444,Rainer Helmig
10720445,Katja Lenz
10720446,Alexander Hufnagel
10720447,David G. Larman
10720448,D. Kleis
10720449,Petra Scheffler
10720450,Stasys Jukna
10720451,Mikail Gevantmakher
10720452,Tankred Rautert
10720453,Luciano Lenzini
10720454,S. Rotin
10720455,Dirk Frosch
10720456,Craig Smith
10720457,Vladimir V. Kalashnikov
10720458,N. Lehdili
10720459,C. Ould Ahmed Salem
10720460,Matthias Krause 0001
10720461,Andreas Brieden
10720462,Marco Gilbert
10720463,Lars Abbe
10720464,Sebastian Maneth
10720465,Thomas Perst
10720466,Helmut Finner
10720467,Markus Roters
10720468,Jirí Sgall
10720469,M. A. Osipova
10720470,N. V. Koliev
10720471,Oleg V. Khamisov
10720472,Markus Holzer 0001
10720473,Varmo Vene
10720474,Markus Müller-Olm
10720475,Feng Cheng 0002
10720476,Paul Ferring
10720477,Martin Luckow
10720478,Dirk Frosch-Wilke
10720479,Judy Goldsmith
10720480,Christopher Lusena
10720481,Eric Allender
10720482,Rainer Hettich
10720483,Matthias Transier
10720484,Wolfgang Effelsberg
10720485,Aditya V. Nori
10720486,Anthony J. Hayter
10720487,Joachim Reiter
10720488,Rustam Mubarakzjanov
10720489,Ulrich Holtmann
10720490,C. T. Kelley
10720491,Peter Rossmanith
10720492,Michael Schmitt 0002
10720493,Gianpiero Cabodi
10720494,Stefano Quer
10720495,Ditmar Erdmann
10720496,Volker Schmidt
10720497,Peter Dierolf
10720498,Paul B. Hermanns
10720499,Markus R. Schmidt
10720500,Clemens Lautemann
10720501,Thomas Schwentick
10720502,Heribert Vollmer
10720503,Klaus W. Wagner
10720504,B. S. Tam
10720505,Jacques Wainer
10720506,Michael Eckmann
10720507,Siome Goldenstein
10720508,Anderson Rocha 0001
10720509,Astrid Kiehn
10720510,Bernd Simeon
10720511,Claus Führer
10720512,Peter Rentrop
10720513,Heinrich Hussmann
10720514,Ulrich Rüde
10720515,Ulrich Furbach
10720516,Erwin Loibl
10720517,Markus Pawlowski
10720518,Christian Roth
10720519,Herbert Bauer
10720520,Christian Sporrer
10720521,Rob van Glabbeek
10720522,Frits W. Vaandrager
10720523,Ursula Goltz
10720524,Christian Freksa
10720525,Gerhard Dirlich
10720526,Stephen L. Bloom
10720527,Zoltán Ésik
10720528,Dirk Taubner
10720529,Peter Slavkovsky
10720530,Michael Griebel
10720531,Peter Oswald
10720532,Burkhard Freitag
10720533,Heribert Schütz
10720534,Günther Specht
10720535,Michael W. Binder
10720536,Uwe M. Borghoff
10720537,Kristof Nast-Kolb
10720538,Arnd Poetzsch-Heffter
10720539,Thomas Eisenbarth 0004
10720540,Marco Dorigo
10720541,Bernhard Schätz
10720542,Manfred Broy
10720543,Günter Böckle
10720544,Siegfried Trosch
10720545,Jürgen Schmidhuber
10720546,Manfred R. Jobmann
10720547,Johann Schumann
10720548,Franz J. Kurfess
10720549,Daniel Hernández 0001
10720550,Rolf Niedermeier
10720551,Sergei Gorlatch
10720552,Michael Werner
10720553,Wolfgang Heinle
10720554,Christoph Zenger 0001
10720555,Stefan Zimmer
10720556,Jochen Hager
10720557,Martin Moser
10720558,Ilko Michler
10720559,Christoph Kreitz
10720560,Gerd Neugebauer
10720561,Bertram Fronhöfer
10720562,Michael Schneider
10720563,Vytautas Cyras
10720564,Victor G. Ganzha
10720565,Evgenii V. Vorozhtsov
10720566,Robert Gold
10720567,Walter Vogler
10720568,Werner Kießling
10720569,Gerhard Köstler
10720570,Ulrich Güntzer
10720571,Werner Pohlmann
10720572,Wolfgang Reisig
10720573,Bernhard Reinmiedl
10720574,Christoph Pflaum
10720575,Johann M. Ph. Schumann
10720576,Ketil Stølen
10720577,Frank Dederichs
10720578,Rainer Weber
10720579,Wolfgang Ertel
10720580,Peter Lory
10720581,Claus Dendorfer
10720582,Andreas Strasser
10720583,Thomas Bonk
10720584,Siegfried Meggendorfer
10720585,Gerhard Weiss 0001
10720586,Ronald H. W. Hoppe
10720587,Barbara I. Wohlmuth
10720588,Peter Weijland
10720589,Andrea Eberhard
10720590,Patrick Thomas
10720591,Reinhold Letz
10720592,Kai Zimmermann
10720593,Peter Manhart
10720594,Peter Baumgartner 0001
10720595,Peter Baumgartner 0006
10720596,Volker Diekert
10720597,Edward Ochmanski
10720598,Klaus Reinhardt
10720599,Michael Luby
10720600,Christian B. Suttner
10720601,Thomas H. Krodel
10720602,Sandra A. Hayes
10720603,Geneviève Pourcin
10720604,Reimar Hofmann
10720605,Martin Röscheisen
10720606,Volker Tresp
10720607,Klaus Hallatschek
10720608,Reiner Müller
10720609,Friedrich L. Bauer
10720610,Rudi Hettler
10720611,Gabriele Scheler
10720612,Christoph Goller
10720613,Geoff Sutcliffe
10720614,Theodor Yemenis
10720615,Ekkart Kindler
10720616,Inga Niepel
10720617,Margit Kinder
10720618,Till Brychcy
10720619,Jörg Desel
10720620,Max Fuchs
10720621,Robert Balder
10720622,Daniel Kobler
10720623,Gerhard W. Zumbusch
10720624,Andreas Listl
10720625,Stefan Högg
10720626,Irmgard Schwarzer
10720627,Volker Heun
10720628,Ernst W. Mayr
10720629,Michael Roth
10720630,Carlos Delgado Kloos
10720631,Friederike Nickl
10720632,Martin Eldracher
10720633,Steffen Hölldobler
10720634,Joachim F. Schreiber
10720635,Michael Arbesmeier
10720636,Klaus-Jörn Lange
10720637,Eike Jessen
10720638,Rudolf Hettler
10720639,Reinhard Fössmeier
10720640,Javier Esparza
10720641,Johannes Bauer 0001
10720642,Thomas Bemmerl
10720643,Thomas Treml
10720644,Hans Regler
10720645,Georg Strobl
10720646,Dieter Dodenhöft
10720647,Wilfried Brauer
10720648,Thomas F. Gritzner
10720649,Oswald Giering
10720650,Thomas Schnekenburger
10720651,Andreas Weininger
10720652,Michael Friedrich 0001
10720653,Hubert Kiechle
10720654,Dieter Barnard
10720655,Angelika Mader
10720656,Klaus Mayr
10720657,Thomas Laußermair
10720658,Rudolf Bayer
10720659,Thomas Streicher
10720660,Thierry Conrad
10720661,Luitpold Babel
10720662,Hans-Joachim Bungartz
10720663,Stefan Eichholz
10720664,B. M. Hearn
10720665,Karl Meinke
10720666,Henning Spruth
10720667,Georg Sigl
10720668,Frank Johannes
10720669,Friedrich Erhard
10720670,Hans Obermaier
10720671,Hans-Jürgen Plewan
10720672,Peter Schlenk
10720673,Manfred Kunde
10720674,Johann K. Obermaier
10720675,Helmut Thöne
10720676,Andreas Heise
10720677,Cristian Dimitrovici
10720678,Peter Pepper
10720679,Max Moser
10720680,Ralph Werchner
10720681,Hermann Hellwagner
10720682,Veronika Thurner
10720683,Frank Leßke
10720684,Stephen F. McCormick
10720685,Erwin Klöck
10720686,Siegfried Bocionek
10720687,Christoph Pleier
10720688,Zong-Yan Qiu
10720689,Mikhail Yu. Shashkov
10720690,Andrey V. Solovjov
10720701,C. J. Date 0001
10720702,Rita Ley
10720703,Markus Casper
10720704,Hugo Hellebrand
10720705,Ralf Merz
10720707,Patrick A. V. Hall
10720708,Markus Tresch
10720709,Gayane Grigoryan
10720710,Oliver Gronz
10720711,Oliver Gutjahr
10720712,Günther Heinemann
10720713,Andreas Rock
10720756,Jim Alves-Foss
10720825,Svetlana N. Yanushkevich
10720887,Josep Domingo-Ferrer
10720919,Venu Govindaraju
10720948,Günther Pernul
10720951,Ernesto Damiani
10721001,Konstantinos N. Plataniotis
10721062,Nabil R. Adam
10721063,Haibing Lu
10721064,Jaideep Vaidya
10721065,Basit Shafiq
10721093,Yu Chen
10721098,Harold Mouchère
10721099,Christian Viard-Gaudin
10721114,Nur Zincir-Heywood
10721159,Andrew Sixsmith
10721189,Dionisis D. Kehagias
10721200,Alberto Martínez
10721207,Alex Mihailidis
10721277,Diane J. Cook
10721279,Lenka Lhotská
10721286,Fabrice O. Morin
10721292,Paul J. McCullagh
10721313,Wei Chen 0015
10721314,Matthias Rauterberg
10721324,Anind K. Dey
10721331,Yuval Elovici
10721374,Audun Jøsang
10721375,Yue Xu 0001
10721396,Bo Yang 0002
10721397,Dayou Liu
10721398,Jiming Liu 0001
10721690,Alexandre Dolgui
10721715,John D. Lee
10721729,Timothy I. Salsbury
10721756,Sirkka-Liisa Jämsä Jounela
10721759,Edward W. Tunstel
10721761,Yael Edan
10721770,Darwin G. Caldwell
10721777,Chandler A. Phillips
10721785,Robert S. Parker
10721786,Thomas F. Edgar
10721787,Juergen Hahn
10721806,Birgit Vogel-Heuser
10721807,Steven J. Landry
10721815,Henry Mirsky
10721817,Rudiyanto Gunawan
10721818,Neda Bagheri
10721822,Francis J. Doyle III
10721832,Mary L. Cummings
10721836,Gianluca Paravati
10721841,Fabrizio Cutolo
10721912,Alan Chalmers
10722020,Martin Guay
10722025,Fabrizio Lamberti
10722026,Federico Manuri
10722027,Andrea Sanna
10722071,Christos-Nikolaos Anagnostopoulos
10722094,Jin Huang
10722127,Michael C. Loui
10722128,Keith W. Miller 0001
10722141,Stéphane Lafortune
10722165,Yiyu Yao
10722166,Ning Zhong 0001
10722197,Yan Zhang
10722198,Xingquan Zhu 0001
10722208,Theo D'Hondt
10722229,Jaideep Srivastava
10722236,Chengqi Zhang
10722237,Zili Zhang 0001
10722305,Xiaocong Fan
10722316,Yanchun Zhang
10722337,Li Yang
10722432,John-Jules Ch. Meyer
10722471,Yu Jiao
10722473,Ron Sun
10722513,Kang Zhang 0001
10722514,Jun Kong
10722585,Qing Li 0001
10722586,Xiao Wu 0001
10722628,Panos M. Pardalos
10722654,Qiushi Ren
10722899,Robert J. Butera
10722909,Wei Wei
10723039,Dean J. Krusienski
10723394,Anthony Finkelstein
10723412,Bernhard Westfechtel
10723428,John McManus
10723448,Weihua Zhuang
10723456,Abdulmotaleb El-Saddik
10723457,M. Anwar Hossain 0001
10723552,Qing Ye
10723559,Jie Wu 0001
10723815,Shervin Shirmohammadi
10723883,Tom Carlson
10723978,Sos S. Agaian
10724002,Wenbing Zhao 0001
10724012,Neil F. Doherty
10724048,Wanlei Zhou 0001
10724068,Zbigniew W. Ras
10724074,Seng Wai Loke
10724104,Bernd Carsten Stahl
10724171,Vladan Devedzic
10724269,Dimitra Giannakopoulou
