START_ID,corresponding,END_ID
10720139,True,1
10720140,False,1
10720141,False,1
10720142,False,1
10720143,False,1
10720144,False,1
10720145,False,1
10720146,False,1
10720147,False,1
10720148,False,1
10720149,True,4
10720150,True,5
10720151,False,5
10720152,True,6
10720154,False,6
10720153,False,6
10720149,True,7
10720149,True,8
10720155,True,9
10720156,False,9
10720157,False,9
10720158,True,10
10720149,False,10
10720149,True,11
10720149,True,12
10720152,True,13
10720149,False,13
10720155,False,13
10720149,True,14
10720159,True,15
10720154,False,15
10720151,True,16
10720160,True,17
10720161,False,17
10720163,True,18
10720162,False,18
10720165,False,18
10720164,False,18
10720166,True,19
10720164,True,20
10720162,False,20
10720163,False,20
10720160,True,21
10720167,True,22
10720168,True,23
10720170,True,24
10720169,False,24
10720173,True,25
10720171,False,25
10720172,False,25
10720174,True,26
10720175,False,26
10720176,False,26
10720177,True,27
10720178,True,28
10720179,False,28
10720180,True,29
10720181,False,29
10720182,True,30
10720183,True,31
10720178,True,32
10720184,False,32
10720185,False,32
10720186,False,32
10720168,False,32
10720168,True,33
10720178,False,33
10720187,False,33
10720188,True,35
10720185,True,36
10720189,True,37
10720190,True,38
10720191,True,39
10720176,True,40
10720184,True,41
10720192,False,41
10720185,True,42
10720186,False,42
10720178,False,42
10720168,True,43
10720184,False,43
10720172,True,44
10720193,False,44
10720171,True,45
10720194,True,46
10720195,True,47
10720181,False,47
10720196,True,48
10720170,True,49
10720197,True,50
10720198,True,51
10720191,True,52
10720171,False,52
10720199,True,53
10720171,True,54
10720172,False,54
10720200,True,55
10720201,True,56
10720202,True,57
10720205,False,57
10720203,False,57
10720204,False,57
10720206,True,58
10720177,True,59
10720207,True,60
10720172,True,61
10720171,False,61
10720208,True,62
10720176,True,63
10720209,False,63
10720210,False,63
10720211,True,64
10720212,True,65
10720182,True,66
10720192,True,67
10720213,False,67
10720214,True,68
10720207,True,69
10720191,True,70
10720215,True,71
10720216,True,72
10720217,False,72
10720188,True,73
10720207,False,73
10720218,True,74
10720219,True,75
10720222,True,76
10720221,False,76
10720220,False,76
10720223,True,77
10720217,False,77
10720216,False,77
10720224,True,78
10720203,True,79
10720226,True,80
10720225,False,80
10720227,True,81
10720228,True,82
10720229,False,82
10720182,True,83
10720213,True,84
10720201,True,85
10720230,False,85
10720231,False,85
10720232,True,86
10720233,True,87
10720171,True,88
10720172,False,88
10720188,True,89
10720171,False,89
10720182,True,90
10720234,False,90
10720223,True,91
10720191,True,92
10720235,True,93
10720236,True,94
10720184,True,95
10720185,False,95
10720237,True,97
10720238,True,98
10720210,True,99
10720239,False,99
10720176,False,99
10720240,False,99
10720193,True,100
10720241,True,101
10720199,False,101
10720237,True,102
10720193,True,103
10720172,False,103
10720242,True,104
10720246,True,105
10720243,False,105
10720245,False,105
10720244,False,105
10720174,True,106
10720208,True,107
10720247,True,108
10720188,True,109
10720171,False,109
10720248,True,110
10720249,True,112
10720250,True,113
10720222,True,114
10720251,True,115
10720185,True,116
10720253,True,117
10720252,False,117
10720181,True,118
10720254,True,119
10720256,True,120
10720255,False,120
10720257,True,121
10720258,True,122
10720188,True,123
10720168,True,124
10720259,True,125
10720260,True,126
10720244,False,126
10720262,False,126
10720261,False,126
10720263,False,126
10720264,True,127
10720265,True,128
10720207,False,128
10720189,True,129
10720186,True,130
10720189,True,131
10720256,False,131
10720170,True,132
10720193,False,132
10720266,False,132
10720227,True,133
10720267,False,133
10720268,True,134
10720220,False,134
10720211,True,135
10720269,True,136
10720270,True,137
10720271,True,138
10720272,False,138
10720199,True,139
10720189,True,140
10720215,True,141
10720273,True,142
10720182,True,144
10720267,False,144
10720170,False,144
10720207,False,144
10720183,False,144
10720275,False,144
10720192,False,144
10720177,False,144
10720197,False,144
10720274,False,144
10720276,False,144
10720207,True,145
10720199,True,146
10720277,True,147
10720278,True,148
10720171,True,149
10720279,False,149
10720171,True,150
10720171,True,151
10720192,False,151
10720172,False,151
10720207,False,151
10720256,False,151
10720170,False,151
10720236,True,152
10720256,True,153
10720280,False,153
10720208,True,154
10720281,True,155
10720282,False,155
10720283,False,155
10720285,True,156
10720284,False,156
10720246,False,156
10720229,False,156
10720223,True,157
10720172,False,157
10720188,True,158
10720286,True,159
10720287,False,159
10720204,True,160
10720288,True,161
10720205,True,162
10720289,True,163
10720171,True,164
10720290,False,164
10720172,False,164
10720266,False,164
10720207,False,164
10720221,True,165
10720258,True,166
10720171,True,167
10720191,False,167
10720291,True,168
10720234,True,169
10720168,True,170
10720192,True,171
10720251,True,172
10720171,True,173
10720279,False,173
10720292,False,173
10720172,True,174
10720171,False,174
10720294,True,175
10720295,False,175
10720293,False,175
10720198,False,175
10720231,True,176
10720181,True,177
10720296,True,178
10720191,False,178
10720171,False,178
10720168,True,179
10720178,True,180
10720297,True,181
10720168,True,182
10720204,True,183
10720266,True,184
10720171,False,184
10720290,False,184
10720172,False,184
10720298,True,185
10720299,True,186
10720181,False,186
10720300,True,187
10720301,True,188
10720236,True,189
10720230,True,190
10720215,False,190
10720296,True,191
10720171,False,191
10720302,False,191
10720170,True,192
10720192,False,192
10720173,False,192
10720233,False,192
10720303,True,194
10720183,True,195
10720304,True,196
10720209,False,196
10720168,True,197
10720266,True,198
10720305,False,198
10720306,True,199
10720307,True,200
10720312,False,200
10720311,False,200
10720310,False,200
10720309,False,200
10720308,False,200
10720216,False,200
10720313,True,201
10720207,True,202
10720266,False,202
10720171,True,203
10720296,False,203
10720314,False,203
10720314,True,204
10720256,True,205
10720315,False,205
10720299,True,206
10720316,True,207
10720189,True,208
10720211,False,208
10720176,True,209
10720291,False,209
10720317,True,210
10720318,True,211
10720168,True,212
10720191,True,213
10720221,True,214
10720319,False,214
10720320,True,215
10720321,True,216
10720293,True,217
10720322,True,218
10720172,True,219
10720265,True,220
10720237,True,221
10720204,True,222
10720219,True,223
10720191,True,224
10720222,True,225
10720323,True,226
10720324,True,227
10720325,True,228
10720230,False,228
10720215,False,228
10720172,True,229
10720168,True,230
10720326,False,230
10720264,True,231
10720317,True,232
10720327,False,232
10720191,True,233
10720284,True,234
10720328,False,234
10720329,True,235
10720172,True,236
10720171,False,236
10720331,True,238
10720330,False,238
10720226,False,238
10720225,False,238
10720332,True,239
10720183,True,240
10720204,False,240
10720272,True,241
10720333,False,241
10720246,False,241
10720188,True,242
10720256,True,243
10720299,True,244
10720334,True,245
10720305,False,245
10720335,True,246
10720336,True,247
10720189,True,248
10720187,True,249
10720233,True,250
10720338,True,251
10720337,False,251
10720251,True,252
10720339,True,253
10720184,True,254
10720341,True,255
10720340,False,255
